,seqname,uid,taxon,size,combinationnotes,combi,project,subproject,well
E03,MBSeq_Trial1-E03,T3-12,all,spool1,"combined from elutions MB_Trial1-A05:H05,A09:D09",elution,size,lab,E03
F03,MBSeq_Trial1-F03,T3-12,all,spool2,"combined from elutions MB_Trial1-A05:H05,A09:D09",elution,size,lab,F03
G03,MBSeq_Trial1-G03,T3-12,all,spool3,"combined from elutions MB_Trial1-A05:H05,A09:D09",elution,size,lab,G03
H03,MBSeq_Trial1-H03,T3-12,all,spool4,"combined from elutions MB_Trial1-A05:H05,A09:D09",elution,size,lab,H03
H05,MBSeq_Trial1-H05,T3-3,all,spool1,combined from fifth of all lysates (small only),lysate,size,lab,H05
D05,MBSeq_Trial1-D05,T3-3,all,spool2,combined from fifth of all lysates (small – medium),lysate,size,lab,D05
G04,MBSeq_Trial1-G04,T3-3,all,spool3,combined from fifth of all lysates (small – large),lysate,size,lab,G04
B04,MBSeq_Trial1-B04,T3-3,all,spool4,combined from fifth of all lysates (small – extralarge),lysate,size,lab,B04
C04,MBSeq_Trial1-C04,T3-7,all,spool1,combined from fifth of all lysates (small only),lysate,size,lab,C04
B02,MBSeq_Trial1-B02,T3-7,all,spool2,combined from fifth of all lysates (small – medium),lysate,size,lab,B02
F01,MBSeq_Trial1-F01,T3-7,all,spool3,combined from fifth of all lysates (small – large),lysate,size,lab,F01
B01,MBSeq_Trial1-B01,T3-7,all,spool4,combined from fifth of all lysates (small – extralarge),lysate,size,lab,B01
H02,MBSeq_Trial1-H02,T3-9,all,spool1,"combined from elutions MB_Trial1-F03:C04,A08:D08",elution,size,lab,H02
A03,MBSeq_Trial1-A03,T3-9,all,spool2,"combined from elutions MB_Trial1-F03:C04,A08:D08",elution,size,lab,A03
B03,MBSeq_Trial1-B03,T3-9,all,spool3,"combined from elutions MB_Trial1-F03:C04,A08:D08",elution,size,lab,B03
C03,MBSeq_Trial1-C03,T3-9,all,spool4,"combined from elutions MB_Trial1-F03:C04,A08:D08",elution,size,lab,C03
D04,MBSeq_Trial1-D04,T3-2,all,spool1,single lysate,lysate,size,manual,D04
A05,MBSeq_Trial1-A05,T3-2,all,spool2,single lysate,lysate,size,manual,A05
E05,MBSeq_Trial1-E05,T3-2,all,spool3,single lysate 1of2,lysate,size,manual,E05
A06,MBSeq_Trial1-A06,T3-2,all,spool4,single lysate 1of5,lysate,size,manual,A06
E06,MBSeq_Trial1-E06,T3-2,all,spool4,single lysate 2of5,lysate,size,manual,E06
D01,MBSeq_Trial1-D01,T3-24,all,spool1,single lysate,lysate,size,manual,D01
H01,MBSeq_Trial1-H01,T3-24,all,spool2,single lysate,lysate,size,manual,H01
D02,MBSeq_Trial1-D02,T3-24,all,spool3,single lysate,lysate,size,manual,D02
F04,MBSeq_Trial1-F04,T3-24,all,spool4,single lysate 1of3,lysate,size,manual,F04
C01,MBSeq_Trial1-C01,T3-25,all,spool1,single lysate,lysate,size,manual,C01
G01,MBSeq_Trial1-G01,T3-25,all,spool2,single lysate,lysate,size,manual,G01
C02,MBSeq_Trial1-C02,T3-25,all,spool3,single lysate,lysate,size,manual,C02
E04,MBSeq_Trial1-E04,T3-25,all,spool4,single lysate 1of2,lysate,size,manual,E04
C05,MBSeq_Trial1-C05,T3-29,all,spool1,single lysate,lysate,size,manual,C05
G05,MBSeq_Trial1-G05,T3-29,all,spool2,single lysate,lysate,size,manual,G05
C06,MBSeq_Trial1-C06,T3-29,all,spool3,single lysate 1of3,lysate,size,manual,C06
G06,MBSeq_Trial1-G06,T3-29,all,spool4,single lysate 1of2,lysate,size,manual,G06
B05,MBSeq_Trial1-B05,T3-33,all,spool1,single lysate,lysate,size,manual,B05
F05,MBSeq_Trial1-F05,T3-33,all,spool2,single lysate,lysate,size,manual,F05
B06,MBSeq_Trial1-B06,T3-33,all,spool3,single lysate,lysate,size,manual,B06
F06,MBSeq_Trial1-F06,T3-33,all,spool4,single lysate 1of3,lysate,size,manual,F06
